"BehaviorSpace results (NetLogo 7.0.1)","Table version 2.0"
"polarizacion_extension_redes.nlogox"
"psi_libre_de_escala"
"04/06/2026 18:39:56:169 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","14","0","14"
"[run number]","c","tipo_red","h","k","m","n","gamma","[step]","Psi"
"19","4","libre de escala","8","2","6","6","0.2","0","-0.002046917545347776"
"20","4","libre de escala","8","2","6","6","0.2","0","0.002195539318352646"
"15","4","libre de escala","8","2","6","6","0.2","20000","0.1404944550379833"
"16","4","libre de escala","8","2","6","6","0.2","20000","0.32973369367903316"
"21","4","libre de escala","8","2","6","6","0.4","0","-0.001053703499570846"
"22","4","libre de escala","8","2","6","6","0.4","0","-0.0020732060371859706"
"17","4","libre de escala","8","2","6","6","0.2","20000","0.1760683944614858"
"23","4","libre de escala","8","2","6","6","0.4","0","0.0013664064819200183"
"18","4","libre de escala","8","2","6","6","0.2","20000","0.2616070450443569"
"19","4","libre de escala","8","2","6","6","0.2","5000","0.04866297689295207"
"24","4","libre de escala","8","2","6","6","0.4","0","3.071546630336319E-4"
"20","4","libre de escala","8","2","6","6","0.2","5000","0.036458540016490126"
"22","4","libre de escala","8","2","6","6","0.4","5000","0.14756384430281738"
"21","4","libre de escala","8","2","6","6","0.4","5000","0.046141547118516785"
"23","4","libre de escala","8","2","6","6","0.4","5000","0.06192166835732185"
"19","4","libre de escala","8","2","6","6","0.2","10000","0.07707724797317742"
"20","4","libre de escala","8","2","6","6","0.2","10000","0.07257966815216504"
"24","4","libre de escala","8","2","6","6","0.4","5000","0.11730905539340938"
"21","4","libre de escala","8","2","6","6","0.4","10000","0.16507713546340747"
"22","4","libre de escala","8","2","6","6","0.4","10000","0.28115724485397625"
"23","4","libre de escala","8","2","6","6","0.4","10000","0.09012885415524469"
"19","4","libre de escala","8","2","6","6","0.2","15000","0.11422574414868092"
"20","4","libre de escala","8","2","6","6","0.2","15000","0.1154396905133191"
"24","4","libre de escala","8","2","6","6","0.4","10000","0.22515884694326097"
"22","4","libre de escala","8","2","6","6","0.4","15000","0.6588226322690791"
"21","4","libre de escala","8","2","6","6","0.4","15000","0.5103428709404876"
"23","4","libre de escala","8","2","6","6","0.4","15000","0.14689378990809943"
"20","4","libre de escala","8","2","6","6","0.2","20000","0.1518041667322923"
"19","4","libre de escala","8","2","6","6","0.2","20000","0.14550072450705678"
"25","4","libre de escala","8","2","6","6","0.4","0","-0.0012329914361610406"
"22","4","libre de escala","8","2","6","6","0.4","20000","0.8307924034661093"
"26","4","libre de escala","8","2","6","6","0.4","0","-0.0016137566137585935"
"21","4","libre de escala","8","2","6","6","0.4","20000","0.589084400212075"
"24","4","libre de escala","8","2","6","6","0.4","15000","0.5817420252222103"
"27","4","libre de escala","8","2","6","6","0.4","0","0.0014502287332323893"
"28","4","libre de escala","8","2","6","6","0.4","0","-0.0020086664751136907"
"23","4","libre de escala","8","2","6","6","0.4","20000","0.2453792998347858"
"29","4","libre de escala","8","2","6","6","0.4","0","0.0037448769363264967"
"25","4","libre de escala","8","2","6","6","0.4","5000","0.11506843100162625"
"28","4","libre de escala","8","2","6","6","0.4","5000","0.04235952695798886"
"24","4","libre de escala","8","2","6","6","0.4","20000","0.6251358649860441"
"26","4","libre de escala","8","2","6","6","0.4","5000","0.09613756613758231"
"27","4","libre de escala","8","2","6","6","0.4","5000","0.051335867786062306"
"30","4","libre de escala","8","2","6","6","0.4","0","0.001494708994709798"
"29","4","libre de escala","8","2","6","6","0.4","5000","0.143487296577542"
"25","4","libre de escala","8","2","6","6","0.4","10000","0.30695895023429753"
"26","4","libre de escala","8","2","6","6","0.4","10000","0.1869047619047565"
"27","4","libre de escala","8","2","6","6","0.4","10000","0.23905097378720197"
"28","4","libre de escala","8","2","6","6","0.4","10000","0.14904413721794607"
"29","4","libre de escala","8","2","6","6","0.4","10000","0.26869183426403853"
"30","4","libre de escala","8","2","6","6","0.4","5000","0.07153439153440713"
"25","4","libre de escala","8","2","6","6","0.4","15000","0.637028898681103"
"26","4","libre de escala","8","2","6","6","0.4","15000","0.45088624338622496"
"27","4","libre de escala","8","2","6","6","0.4","15000","0.5512888490253331"
"28","4","libre de escala","8","2","6","6","0.4","15000","0.3501634554989792"
"29","4","libre de escala","8","2","6","6","0.4","15000","0.4937775183094547"
"30","4","libre de escala","8","2","6","6","0.4","10000","0.15355820105820053"
"25","4","libre de escala","8","2","6","6","0.4","20000","0.7382980180458416"
"26","4","libre de escala","8","2","6","6","0.4","20000","0.5828835978835464"
"31","4","libre de escala","8","2","6","6","0.6","0","0.0033986587615994213"
"28","4","libre de escala","8","2","6","6","0.4","20000","0.42294520457339746"
"27","4","libre de escala","8","2","6","6","0.4","20000","0.7661213838375913"
"32","4","libre de escala","8","2","6","6","0.6","0","-8.203286983830271E-4"
"34","4","libre de escala","8","2","6","6","0.6","0","5.469810335566039E-4"
"33","4","libre de escala","8","2","6","6","0.6","0","-0.002972264860616969"
"29","4","libre de escala","8","2","6","6","0.4","20000","0.6548396132187215"
"35","4","libre de escala","8","2","6","6","0.6","0","-7.122405362207929E-4"
"30","4","libre de escala","8","2","6","6","0.4","15000","0.30785714285713295"
"31","4","libre de escala","8","2","6","6","0.6","5000","0.1531377380821763"
"32","4","libre de escala","8","2","6","6","0.6","5000","0.13936485940297522"
"33","4","libre de escala","8","2","6","6","0.6","5000","0.0965252367295086"
"34","4","libre de escala","8","2","6","6","0.6","5000","0.051315422680701855"
"35","4","libre de escala","8","2","6","6","0.6","5000","0.257413968910124"
"30","4","libre de escala","8","2","6","6","0.4","20000","0.6805026455026391"
"36","4","libre de escala","8","2","6","6","0.6","0","-0.0018393159750478838"
"31","4","libre de escala","8","2","6","6","0.6","10000","0.3731480219582921"
"33","4","libre de escala","8","2","6","6","0.6","10000","0.3409740982157099"
"32","4","libre de escala","8","2","6","6","0.6","10000","0.5384264785390627"
"34","4","libre de escala","8","2","6","6","0.6","10000","0.23756263467607797"
"35","4","libre de escala","8","2","6","6","0.6","10000","0.7093667038661582"
"31","4","libre de escala","8","2","6","6","0.6","15000","0.46617157158425615"
"36","4","libre de escala","8","2","6","6","0.6","5000","0.08220976555199894"
"32","4","libre de escala","8","2","6","6","0.6","15000","0.8097870441816628"
"34","4","libre de escala","8","2","6","6","0.6","15000","0.44272440016894365"
"35","4","libre de escala","8","2","6","6","0.6","15000","0.928615877460771"
"33","4","libre de escala","8","2","6","6","0.6","15000","0.6091256938101641"
"31","4","libre de escala","8","2","6","6","0.6","20000","0.5729401872615343"
"32","4","libre de escala","8","2","6","6","0.6","20000","0.8038611299203853"
"37","4","libre de escala","8","2","6","6","0.6","0","-0.00294387009840838"
"34","4","libre de escala","8","2","6","6","0.6","20000","0.4067067214154071"
"36","4","libre de escala","8","2","6","6","0.6","10000","0.2827256595559504"
"38","4","libre de escala","8","2","6","6","0.6","0","0.0019493385262000784"
"35","4","libre de escala","8","2","6","6","0.6","20000","0.9589961641666493"
"39","4","libre de escala","8","2","6","6","0.6","0","2.994197096735929E-4"
"33","4","libre de escala","8","2","6","6","0.6","20000","0.8040145971332355"
"40","4","libre de escala","8","2","6","6","0.6","0","-5.383179888089895E-4"
"41","4","libre de escala","8","2","6","6","0.8","0","2.137119785693975E-4"
"37","4","libre de escala","8","2","6","6","0.6","5000","0.09661011089311905"
"39","4","libre de escala","8","2","6","6","0.6","5000","0.07045484660073648"
"36","4","libre de escala","8","2","6","6","0.6","15000","0.3658932581801268"
"38","4","libre de escala","8","2","6","6","0.6","5000","0.06728165458805177"
"40","4","libre de escala","8","2","6","6","0.6","5000","0.14821901526028217"
"41","4","libre de escala","8","2","6","6","0.8","5000","0.04008257538921334"
"37","4","libre de escala","8","2","6","6","0.6","10000","0.3966991188983734"
"40","4","libre de escala","8","2","6","6","0.6","10000","0.3162465195850047"
"38","4","libre de escala","8","2","6","6","0.6","10000","0.37009611059654385"
"39","4","libre de escala","8","2","6","6","0.6","10000","0.3360227440307578"
"36","4","libre de escala","8","2","6","6","0.6","20000","0.5079275596042829"
"41","4","libre de escala","8","2","6","6","0.8","10000","0.24127997765802794"
"42","4","libre de escala","8","2","6","6","0.8","0","-3.3789586086771517E-4"
"37","4","libre de escala","8","2","6","6","0.6","15000","0.6871703321465749"
"40","4","libre de escala","8","2","6","6","0.6","15000","0.5768146127908856"
"38","4","libre de escala","8","2","6","6","0.6","15000","0.7225757104718034"
"39","4","libre de escala","8","2","6","6","0.6","15000","0.5689571244581424"
"41","4","libre de escala","8","2","6","6","0.8","15000","0.5313398309534745"
"42","4","libre de escala","8","2","6","6","0.8","5000","0.11135838986884286"
"37","4","libre de escala","8","2","6","6","0.6","20000","0.7721429756202406"
"40","4","libre de escala","8","2","6","6","0.6","20000","0.6058456467938778"
"43","4","libre de escala","8","2","6","6","0.8","0","-0.001245168716490358"
"38","4","libre de escala","8","2","6","6","0.6","20000","0.7864849941033882"
"44","4","libre de escala","8","2","6","6","0.8","0","0.0014988406556896983"
"45","4","libre de escala","8","2","6","6","0.8","0","-0.0021560846560859936"
"41","4","libre de escala","8","2","6","6","0.8","20000","0.5862537648611239"
"39","4","libre de escala","8","2","6","6","0.6","20000","0.6201613907194511"
"47","4","libre de escala","8","2","6","6","0.8","0","0.0018193511522447414"
"46","4","libre de escala","8","2","6","6","0.8","0","-5.630998423700462E-4"
"42","4","libre de escala","8","2","6","6","0.8","10000","0.4335378230222591"
"43","4","libre de escala","8","2","6","6","0.8","5000","0.07511881601423237"
"44","4","libre de escala","8","2","6","6","0.8","5000","0.06177321780102779"
"45","4","libre de escala","8","2","6","6","0.8","5000","0.08476190476189815"
"46","4","libre de escala","8","2","6","6","0.8","5000","0.08071334066638466"
"47","4","libre de escala","8","2","6","6","0.8","5000","0.04344775414578572"
"42","4","libre de escala","8","2","6","6","0.8","15000","0.9255344375664515"
"43","4","libre de escala","8","2","6","6","0.8","10000","0.1892872036881097"
