"BehaviorSpace results (NetLogo 7.0.1)","Table version 2.0"
"polarizacion_extension_redes.nlogox"
"psi_red_aleatoria"
"04/06/2026 18:35:37:002 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","14","0","14"
"[run number]","c","tipo_red","h","k","m","n","gamma","[step]","Psi"
"16","4","aleatoria","8","2","6","6","0.2","20000","0.1291666666666776"
"15","4","aleatoria","8","2","6","6","0.2","20000","0.22127027197810345"
"20","4","aleatoria","8","2","6","6","0.2","0","-0.0030179270970209504"
"21","4","aleatoria","8","2","6","6","0.4","0","-0.0028677815152617636"
"22","4","aleatoria","8","2","6","6","0.4","0","0.0014810551697980734"
"23","4","aleatoria","8","2","6","6","0.4","0","-5.368424086795165E-4"
"18","4","aleatoria","8","2","6","6","0.2","10000","0.049920474729816394"
"19","4","aleatoria","8","2","6","6","0.2","5000","0.05850357749729862"
"20","4","aleatoria","8","2","6","6","0.2","5000","0.050656065557793756"
"21","4","aleatoria","8","2","6","6","0.4","5000","0.056900124540970265"
"22","4","aleatoria","8","2","6","6","0.4","5000","0.05896429163439404"
"23","4","aleatoria","8","2","6","6","0.4","5000","0.10747041708112279"
"18","4","aleatoria","8","2","6","6","0.2","15000","0.06613573854758745"
"19","4","aleatoria","8","2","6","6","0.2","10000","0.09744222711357822"
"20","4","aleatoria","8","2","6","6","0.2","10000","0.09514638673140471"
"21","4","aleatoria","8","2","6","6","0.4","10000","0.1333497240157214"
"23","4","aleatoria","8","2","6","6","0.4","10000","0.30975086369983573"
"22","4","aleatoria","8","2","6","6","0.4","10000","0.14585201753895943"
"18","4","aleatoria","8","2","6","6","0.2","20000","0.07737492835280457"
"24","4","aleatoria","8","2","6","6","0.4","0","-0.003172706043187007"
"20","4","aleatoria","8","2","6","6","0.2","15000","0.14072170167606826"
"19","4","aleatoria","8","2","6","6","0.2","15000","0.12215149412400197"
"22","4","aleatoria","8","2","6","6","0.4","15000","0.2760778977270675"
"23","4","aleatoria","8","2","6","6","0.4","15000","0.6620293727323181"
"21","4","aleatoria","8","2","6","6","0.4","15000","0.20718692620853213"
"24","4","aleatoria","8","2","6","6","0.4","5000","0.07265133185712006"
"20","4","aleatoria","8","2","6","6","0.2","20000","0.1700692000780058"
"22","4","aleatoria","8","2","6","6","0.4","20000","0.46834998556663743"
"19","4","aleatoria","8","2","6","6","0.2","20000","0.14869904612473483"
"25","4","aleatoria","8","2","6","6","0.4","0","-4.1397207824889204E-4"
"23","4","aleatoria","8","2","6","6","0.4","20000","0.7663813300068936"
"26","4","aleatoria","8","2","6","6","0.4","0","5.687830687849393E-4"
"21","4","aleatoria","8","2","6","6","0.4","20000","0.38813182905906535"
"27","4","aleatoria","8","2","6","6","0.4","0","-0.001891534391535693"
"28","4","aleatoria","8","2","6","6","0.4","0","-4.085445293239287E-5"
"29","4","aleatoria","8","2","6","6","0.4","0","-0.0010660616615335294"
"25","4","aleatoria","8","2","6","6","0.4","5000","0.07041860254880394"
"24","4","aleatoria","8","2","6","6","0.4","10000","0.1246066530240634"
"26","4","aleatoria","8","2","6","6","0.4","5000","0.08683862433864162"
"28","4","aleatoria","8","2","6","6","0.4","5000","0.06395112673634273"
"27","4","aleatoria","8","2","6","6","0.4","5000","0.07813492063492772"
"29","4","aleatoria","8","2","6","6","0.4","5000","0.08836155359835124"
"25","4","aleatoria","8","2","6","6","0.4","10000","0.17870008874691995"
"24","4","aleatoria","8","2","6","6","0.4","15000","0.17862280013235438"
"26","4","aleatoria","8","2","6","6","0.4","10000","0.20383597883599042"
"28","4","aleatoria","8","2","6","6","0.4","10000","0.18857897706193705"
"27","4","aleatoria","8","2","6","6","0.4","10000","0.17578042328042237"
"29","4","aleatoria","8","2","6","6","0.4","10000","0.28935590848697745"
"25","4","aleatoria","8","2","6","6","0.4","15000","0.36279632724924504"
"28","4","aleatoria","8","2","6","6","0.4","15000","0.3801441463014091"
"26","4","aleatoria","8","2","6","6","0.4","15000","0.32408730158730414"
"24","4","aleatoria","8","2","6","6","0.4","20000","0.4409316246941669"
"27","4","aleatoria","8","2","6","6","0.4","15000","0.536256613756656"
"30","4","aleatoria","8","2","6","6","0.4","0","-0.0033461127274210523"
"29","4","aleatoria","8","2","6","6","0.4","15000","0.7449998409521422"
"25","4","aleatoria","8","2","6","6","0.4","20000","0.7344567439900203"
"31","4","aleatoria","8","2","6","6","0.6","0","-2.820614273600641E-4"
"28","4","aleatoria","8","2","6","6","0.4","20000","0.589199065268238"
"26","4","aleatoria","8","2","6","6","0.4","20000","0.6535978835978942"
"27","4","aleatoria","8","2","6","6","0.4","20000","0.8534920634920278"
"32","4","aleatoria","8","2","6","6","0.6","0","9.926040239565392E-4"
"30","4","aleatoria","8","2","6","6","0.4","5000","0.1305761490772016"
"33","4","aleatoria","8","2","6","6","0.6","0","0.0029365079365102353"
"34","4","aleatoria","8","2","6","6","0.6","0","-0.0021536375006614983"
"29","4","aleatoria","8","2","6","6","0.4","20000","0.7962433424063927"
"35","4","aleatoria","8","2","6","6","0.6","0","-7.301449343356248E-4"
"31","4","aleatoria","8","2","6","6","0.6","5000","0.08574857196377453"
"33","4","aleatoria","8","2","6","6","0.6","5000","0.03834656084655885"
"34","4","aleatoria","8","2","6","6","0.6","5000","0.08721590968501813"
"32","4","aleatoria","8","2","6","6","0.6","5000","0.13170705845919756"
"30","4","aleatoria","8","2","6","6","0.4","10000","0.4196290381185367"
"35","4","aleatoria","8","2","6","6","0.6","5000","0.11873205428414871"
"31","4","aleatoria","8","2","6","6","0.6","10000","0.17823645100695934"
"34","4","aleatoria","8","2","6","6","0.6","10000","0.27834217118218374"
"32","4","aleatoria","8","2","6","6","0.6","10000","0.5928677385320288"
"33","4","aleatoria","8","2","6","6","0.6","10000","0.20724867724867346"
"35","4","aleatoria","8","2","6","6","0.6","10000","0.33226099220933425"
"30","4","aleatoria","8","2","6","6","0.4","15000","0.9107317784538321"
"31","4","aleatoria","8","2","6","6","0.6","15000","0.4343419366225445"
"34","4","aleatoria","8","2","6","6","0.6","15000","0.7903762367195104"
"33","4","aleatoria","8","2","6","6","0.6","15000","0.7733201058200716"
"32","4","aleatoria","8","2","6","6","0.6","15000","0.9270344708123928"
"35","4","aleatoria","8","2","6","6","0.6","15000","0.6064281296291074"
"30","4","aleatoria","8","2","6","6","0.4","20000","0.9940740309247745"
"36","4","aleatoria","8","2","6","6","0.6","0","-3.616627036084896E-5"
"31","4","aleatoria","8","2","6","6","0.6","20000","0.4650262642566685"
"37","4","aleatoria","8","2","6","6","0.6","0","-0.0015960457093764924"
"34","4","aleatoria","8","2","6","6","0.6","20000","0.9039018533879484"
"33","4","aleatoria","8","2","6","6","0.6","20000","0.772063492063451"
"32","4","aleatoria","8","2","6","6","0.6","20000","0.9328632243096053"
"38","4","aleatoria","8","2","6","6","0.6","0","0.0033761983775813798"
"39","4","aleatoria","8","2","6","6","0.6","0","0.0013857205826428576"
"40","4","aleatoria","8","2","6","6","0.6","0","0.003783396793142879"
"35","4","aleatoria","8","2","6","6","0.6","20000","0.7510896250959761"
"41","4","aleatoria","8","2","6","6","0.8","0","-9.328814490411064E-4"
"37","4","aleatoria","8","2","6","6","0.6","5000","0.0904583425543092"
"36","4","aleatoria","8","2","6","6","0.6","5000","0.10110923893360502"
"38","4","aleatoria","8","2","6","6","0.6","5000","0.07249549432605298"
"39","4","aleatoria","8","2","6","6","0.6","5000","0.18521958015908688"
"40","4","aleatoria","8","2","6","6","0.6","5000","0.14937309740360685"
"41","4","aleatoria","8","2","6","6","0.8","5000","0.09016686043888203"
"37","4","aleatoria","8","2","6","6","0.6","10000","0.4274755424717006"
"36","4","aleatoria","8","2","6","6","0.6","10000","0.282014183056972"
"38","4","aleatoria","8","2","6","6","0.6","10000","0.28708762265967275"
"39","4","aleatoria","8","2","6","6","0.6","10000","0.6148510353680778"
"40","4","aleatoria","8","2","6","6","0.6","10000","0.5182440260508435"
"41","4","aleatoria","8","2","6","6","0.8","10000","0.408517887243402"
"37","4","aleatoria","8","2","6","6","0.6","15000","0.5823947881335896"
"36","4","aleatoria","8","2","6","6","0.6","15000","0.780448430257878"
"38","4","aleatoria","8","2","6","6","0.6","15000","0.7483972640493977"
"39","4","aleatoria","8","2","6","6","0.6","15000","0.7523383290709572"
"40","4","aleatoria","8","2","6","6","0.6","15000","0.6451247823410611"
"37","4","aleatoria","8","2","6","6","0.6","20000","0.6488197543080989"
"41","4","aleatoria","8","2","6","6","0.8","15000","0.6324254259226437"
"42","4","aleatoria","8","2","6","6","0.8","0","3.755411081702853E-4"
"36","4","aleatoria","8","2","6","6","0.6","20000","0.8070143667753308"
"43","4","aleatoria","8","2","6","6","0.8","0","0.001934194584914145"
"38","4","aleatoria","8","2","6","6","0.6","20000","0.8215079380757108"
"44","4","aleatoria","8","2","6","6","0.8","0","0.001221776044489642"
"39","4","aleatoria","8","2","6","6","0.6","20000","0.8038285310012698"
"45","4","aleatoria","8","2","6","6","0.8","0","7.660212234492925E-4"
"41","4","aleatoria","8","2","6","6","0.8","20000","0.6316671510972216"
"40","4","aleatoria","8","2","6","6","0.6","20000","0.6460047657907901"
"42","4","aleatoria","8","2","6","6","0.8","5000","0.24239967299054843"
"46","4","aleatoria","8","2","6","6","0.8","0","1.7637032689060694E-5"
